Fecha,Yantac,Laguna Cochaquillo,Laguna Surasaca
2005-12-31,113.118,80.16,102.857
2006-01-31,131.857,80.697,118.377
2006-02-28,128.407,113.965,143.404
2006-03-31,199.895,140.885,143.022
2006-04-30,72.119,48.674,79.314
2006-05-31,0.332,0.39,14.516
2006-06-30,4.309,5.423,10.666
2006-07-31,0.242,0.035,0.046
2006-08-31,1.666,1.448,3.403
2006-09-30,29.913,14.100999999999999,22.57
2006-10-31,62.301,41.569,62.205000000000005
2006-11-30,36.188,48.613,85.041
2006-12-31,183.686,86.025,106.43599999999999
2007-01-31,153.12,77.657,119.238
2007-02-28,121.11,81.873,104.186
2007-03-31,188.745,145.989,153.099
2007-04-30,74.015,36.357,68.556
2007-05-31,19.851,12.978,44.004
2007-06-30,0.077,0.0,0.074
2007-07-31,0.239,0.14200000000000002,2.586
2007-08-31,3.5140000000000002,0.025,0.806
2007-09-30,18.61,11.365,10.484
2007-10-31,91.293,50.018,73.426
2007-11-30,49.963,37.349,61.982
2007-12-31,84.94,66.381,78.7
2008-01-31,160.889,107.895,154.306
2008-02-29,185.006,104.857,141.03300000000002
2008-03-31,107.19800000000001,130.351,134.156
2008-04-30,40.44,28.117,56.969
2008-05-31,0.84,0.163,2.454
2008-06-30,1.342,1.963,6.822
2008-07-31,0.444,0.0,0.009000000000000001
2008-08-31,9.371,3.753,5.94
2008-09-30,4.412,7.999,16.238
2008-10-31,104.646,38.921,71.35
2008-11-30,55.013,29.791,48.239999999999995
2008-12-31,140.981,69.625,90.462
2009-01-31,177.803,98.789,142.774
2009-02-28,209.35799999999998,112.765,145.779
2009-03-31,153.623,255.113,209.584
2009-04-30,67.795,38.564,82.745
2009-05-31,12.229000000000001,15.038,39.554
2009-06-30,0.187,0.05,0.334
2009-07-31,1.73,0.805,3.1060000000000003
2009-08-31,9.969000000000001,3.106,10.775000000000002
2009-09-30,30.282999999999998,4.723,9.677
2009-10-31,113.84100000000001,36.673,64.497
2009-11-30,148.852,55.511,87.83500000000001
2009-12-31,149.046,89.80199999999999,106.816
2010-01-31,163.875,54.497,117.333
2010-02-28,121.081,37.264,101.358
2010-03-31,147.981,73.792,131.122
2010-04-30,63.135,13.189,47.61
2010-05-31,4.8,0.27,7.2749999999999995
2010-06-30,1.607,2.967,0.913
2010-07-31,0.23099999999999998,0.0,0.009000000000000001
2010-08-31,0.39399999999999996,0.0,0.13
2010-09-30,25.247,10.868,25.942
2010-10-31,57.689,25.735,61.344
2010-11-30,80.32,48.935,84.749
2010-12-31,174.063,98.071,125.928
2011-01-31,194.643,144.009,174.709
2011-02-28,121.216,93.30499999999999,146.851
2011-03-31,157.51,83.58800000000001,189.133
2011-04-30,80.169,55.428000000000004,77.261
2011-05-31,5.841,5.186,18.874
2011-06-30,0.088,0.199,3.646
2011-07-31,4.939,1.253,0.46599999999999997
2011-08-31,3.921,0.901,1.256
2011-09-30,37.187,18.403,17.528
2011-10-31,9.896,22.077,47.635000000000005
2011-11-30,103.877,32.531,84.25
2011-12-31,224.425,91.373,128.63
2012-01-31,114.65299999999999,44.435,108.156
2012-02-29,175.519,133.961,173.177
2012-03-31,153.209,111.428,124.526
2012-04-30,79.479,96.85600000000001,97.52
2012-05-31,12.975,4.795,19.365000000000002
2012-06-30,1.162,3.87,5.8260000000000005
2012-07-31,0.064,0.013000000000000001,0.035
2012-08-31,0.7819999999999999,0.056999999999999995,0.415
2012-09-30,77.80799999999999,18.884999999999998,55.214
2012-10-31,72.429,40.467999999999996,60.471000000000004
2012-11-30,70.667,62.778,79.779
2012-12-31,167.637,103.476,116.064
2013-01-31,148.96099999999998,111.756,107.489
2013-02-28,190.74,95.742,142.807
2013-03-31,171.026,253.459,170.995
2013-04-30,20.906000000000002,16.963,39.356
2013-05-31,23.837999999999997,9.712,42.929
2013-06-30,0.695,0.09,0.982
2013-07-31,1.109,0.081,2.548
2013-08-31,17.23,16.443,12.946
2013-09-30,8.375,4.177,13.696
2013-10-31,123.681,108.144,89.265
2013-11-30,60.415,34.378,61.153
2013-12-31,145.302,40.185,97.733
2014-01-31,162.30599999999998,70.167,128.699
2014-02-28,146.054,57.809,144.665
2014-03-31,175.378,110.06,154.554
2014-04-30,43.118,62.143,57.788999999999994
2014-05-31,26.412,33.312,52.95
2014-06-30,0.5860000000000001,0.048,0.316
2014-07-31,1.2249999999999999,4.024,0.499
2014-08-31,11.41,2.013,10.126999999999999
2014-09-30,23.054,32.013,33.289
2014-10-31,92.544,64.412,63.747
2014-11-30,58.452,38.931,62.269
2014-12-31,168.788,139.722,115.423
2015-01-31,179.212,81.322,115.35
2015-02-28,127.54599999999999,89.445,113.08500000000001
2015-03-31,137.551,145.512,125.972
2015-04-30,53.967,60.457,74.291
2015-05-31,4.807,32.822,40.205999999999996
2015-06-30,3.527,1.976,4.042
2015-07-31,0.571,0.012,1.131
2015-08-31,11.86,8.968,11.635000000000002
2015-09-30,23.755,17.622,14.292
2015-10-31,49.614,13.741999999999999,43.672
2015-11-30,82.8,23.122000000000003,62.513
2015-12-31,132.469,76.432,89.582
2016-01-31,47.943,41.274,49.004
2016-02-29,203.845,86.459,134.659
2016-03-31,92.22200000000001,36.336999999999996,126.805
2016-04-30,60.634,35.601,65.224
2016-05-31,6.52,1.621,9.412
2016-06-30,1.485,0.883,6.686
2016-07-31,1.5310000000000001,0.102,4.130999999999999
2016-08-31,0.442,0.244,3.9469999999999996
2016-09-30,39.021,23.654,45.927
2016-10-31,24.485,38.659,50.283
2016-11-30,1.0110000000000001,0.674,4.755
2016-12-31,110.25,35.354,109.944
